#,PlantName,ScientificName,EdibleParts,PreparationMethods,Notes,Varieties,Warnings,LookAlike,Identification
1,Mountain Dandelion,Agoseris spp.,"Flower, Sap, Stem, Leaves",Dried sap from stem and leaves can be chewed or eaten as gum. Flower and leaves are edible raw; dried sap from stem and leaves can be chewed or eaten as gum,"Found on grassy, open foothills, montane slopes, and alpine/subalpine areas, Edible look-alikes in the Pacific Northwest are dandelion and salsify",Orange agoseris (Agoseris aurantiaca); Short-beaked agoseris (Agoseris glauca),,,
2,Arrow-leaved balsamroot,Balsamorhiza sagittata,Whole plant,"Peeled roots, young stems and leaf stalks are best; roots can be dried for storage.",Found on stony slopes in foothills.,,Do not confuse with poisonous Arnica (Arnica spp.).,Arnica,
3,Arrowhead,Sagittaria spp.,"Rhizome, underwater tuber, tubers, stems","Tubers can be cooked, sliced, dried for storage, later boiled.","Found on calm water in plains, foothills, and montane regions",,Some species can cause skin reactions.,,
4,Asparagus,Asparagus officinalis,Young shoots,Raw consumption; cooking,"Found on roadways, disturbed areas and fields",,Handling young plants can cause contact dermatitis,,
5,Bearberry,Arctostaphylos uva-ursi,Berries,,"Look-alikes in British Columbia, The similar-looking bearberry cotoneaster (Cotoneaster dammeri) is a dense, creeping shrub that produces inedible berries. It differs in that it grows over a foot tall and the berries occur along the trailing stems rather than at the branch tips. The less common red bearberry (Arctostaphylos rubra) and alpine bearberry (Arctostaphylos alpina)produce edible red and reddish black berries, respectively. They both differ in that the leaves are thinner and turn red in the fall. Berries are dry/mealy, clustered 3-10",,"The berries may cause nausea, constipation, and, eventually, liver problems. They should not be eaten by children or women who are pregnant or breast-feeding.",Bearberry Cotoneaster,Creeping shrub is about half a foot high
6,Beargrass,Xerophyllum tenax,Rhizome,Rhizomes are edible when roasted or boiled.,Found on dry slopes/ridges or forest clearings,,,,
7,Bedstraw,Cleavers,"Steam, Leaves, Flowers",Raw consumption; cooking,Found near low-growing vegetation and disturbed soil sites,Cleavers (Galium aparine); Northern bedstraw (Galium boreale); Sweet-scented bedstraw (Galium triflorum),Acts as a mild laxative when eaten in quantity,,
8,Bedstraw Cleavers,Galium spp.,"Steam, Leaves, Flowers","Plant is best cooked, but Stem, leaves, and flowers can be eaten raw..",Found on disturbed soil sites.,"Cleavers (Galium aparine), Northern bedstraw (Galium boreale), Sweet-scented bedstraw (Galium triflorum)",Acts as a mild laxative in quantity.,,
9,Bistort,Polygonum spp.,"Leaves, Shoots, Rhizome","Rhizome can be steeped in water, roasted/dried, and ground into flour. rhizome is suitable for use as a potherb. seeds are edible, either roasted whole or ground into meal/flour. small bulblets can be eaten raw.","The plant is rich in vitamin C. Grows in moist, open areas on montane, alpine, and subalpine slopes.",Varieties in the Pacific Northwest include American bistort (Bistorta bistortoides) and Alpine bistort (Bistorta vivipara).,Eating raw plants in large quantities can cause diarrhea.,,
10,Bittercress,Cardamine spp.,Whole plant,Bittercress is best when cooked but is edible raw. ,Bittercress has a peppery taste. Grows in moist woods and meadows in montane and subalpine regions.,"Varieties in the Pacific Northwest include Brewer's bittercress (Cardamine breweri), Heart-leaved bittercress (Cardamine cordifolia) and Pennsylvania bittercress (Cardamine pensylvanica).",,,
